eventDate,paddockId,value,paddockSize
25/02/2014,937,1783,5.194722556
25/02/2014,938,2046,5.944417265
25/02/2014,939,2256,5.291838734
25/02/2014,903,1817,4.541210638
25/02/2014,924,2115,2.124841665
25/02/2014,925,2300,4.647761062
25/02/2014,863,2554,3.725488777
25/02/2014,862,2736,2.52104187
25/02/2014,852,1943,3.344493897
25/02/2014,889,2996,3.555629809
25/02/2014,890,2821,2.918525691
25/02/2014,919,2087,2.9301987
25/02/2014,922,1587,3.445599554
25/02/2014,928,2138,3.145816446
25/02/2014,929,1940,2.972386725
25/02/2014,930,2225,2.841997011
25/02/2014,860,1942,7.023859853
25/02/2014,923,2094,3.129891734
25/02/2014,921,2170,5.148090268
25/02/2014,915,2182,4.100257383
25/02/2014,916,2895,2.469693385
25/02/2014,917,2448,2.292311486
25/02/2014,904,1646,3.729966835
25/02/2014,853,1794,3.998670166
25/02/2014,897,1880,5.240167843
25/02/2014,920,2846,2.754501266
25/02/2014,907,2163,4.230977739
25/02/2014,892,2580,2.923051995
25/02/2014,891,2625,3.058411991
25/02/2014,888,1963,2.431555744
25/02/2014,885,2342,3.667713163
25/02/2014,893,2239,4.73814061
25/02/2014,887,2698,5.679840426
25/02/2014,886,2764,5.030044973
25/02/2014,884,2450,3.042695608
25/02/2014,876,2720,5.326136969
25/02/2014,945,1680,7.274207882
25/02/2014,940,2070,2.374920961
25/02/2014,851,1904,5.074070584
31/03/2014,930,2123,2.841997011
31/03/2014,929,2117,2.972386725
31/03/2014,922,2421,3.445599554
31/03/2014,868,2034,2.125117523
31/03/2014,919,1972,2.9301987
31/03/2014,890,3116,2.918525691
31/03/2014,889,1985,3.555629809
31/03/2014,852,1776,3.344493897
31/03/2014,862,2365,2.52104187
31/03/2014,863,2671,3.725488777
31/03/2014,903,2021,4.541210638
31/03/2014,938,2645,5.944417265
31/03/2014,937,2474,5.194722556
31/03/2014,923,2232,3.129891734
31/03/2014,904,1906,3.729966835
31/03/2014,853,1835,3.998670166
31/03/2014,897,1721,5.240167843
31/03/2014,920,2710,2.754501266
31/03/2014,907,2147,4.230977739
31/03/2014,892,2728,2.923051995
31/03/2014,891,2739,3.058411991
31/03/2014,888,3689,2.431555744
31/03/2014,880,2232,2.215764453
31/03/2014,885,3017,3.667713163
31/03/2014,893,3012,4.73814061
31/03/2014,887,3213,5.679840426
31/03/2014,886,3639,5.030044973
31/03/2014,884,2663,3.042695608
31/03/2014,865,1733,2.24654384
31/03/2014,945,1788,7.274207882
31/03/2014,940,1793,2.374920961
31/03/2014,851,1943,5.074070584
16/04/2014,939,2300,5.291838734
16/04/2014,934,2250,3.058029825
16/04/2014,922,1600,3.445599554
16/04/2014,874,0,2.441244515
16/04/2014,874,1999,2.441244515
16/04/2014,874,600,2.441244515
30/04/2014,851,1356,5.074070584
30/04/2014,852,1435,3.344493897
30/04/2014,853,1515,3.998670166
30/04/2014,862,2535,2.52104187
30/04/2014,863,1927,3.725488777
30/04/2014,868,3375,2.125117523
30/04/2014,874,2067,2.441244515
30/04/2014,875,2226,2.297550985
30/04/2014,876,2125,5.326136969
30/04/2014,880,2455,2.215764453
30/04/2014,884,1849,3.042695608
30/04/2014,885,1755,3.667713163
30/04/2014,886,2595,5.030044973
30/04/2014,887,1533,5.679840426
30/04/2014,888,2186,2.431555744
30/04/2014,889,2310,3.555629809
30/04/2014,890,2302,2.918525691
30/04/2014,891,2063,3.058411991
30/04/2014,892,2073,2.923051995
30/04/2014,893,1900,4.73814061
30/04/2014,897,1591,5.240167843
30/04/2014,903,1966,4.541210638
30/04/2014,904,2645,3.729966835
30/04/2014,907,2121,4.230977739
30/04/2014,913,1942,6.458700545
30/04/2014,917,2150,2.292311486
30/04/2014,919,1660,2.9301987
30/04/2014,920,2231,2.754501266
30/04/2014,921,1770,5.148090268
30/04/2014,922,1646,3.445599554
30/04/2014,923,1482,3.129891734
30/04/2014,924,1798,2.124841665
30/04/2014,925,1881,4.647761062
30/04/2014,928,1652,3.145816446
30/04/2014,929,1712,2.972386725
30/04/2014,930,1843,2.841997011
30/04/2014,931,2280,3.373327961
30/04/2014,932,2003,3.226488473
30/04/2014,933,1865,3.463323135
30/04/2014,934,1673,3.058029825
30/04/2014,935,2003,2.975802209
30/04/2014,936,1927,3.294614693
30/04/2014,937,2079,5.194722556
30/04/2014,938,1940,5.944417265
30/04/2014,939,1972,5.291838734
30/04/2014,940,1640,2.374920961
30/04/2014,944,1729,10.92204744
30/04/2014,945,1423,7.274207882
30/05/2014,892,1699,2.923051995
30/06/2014,817,2400,0.836603187
3/07/2014,894,1387,8.903115776
3/07/2014,881,1353,3.308539222
3/07/2014,901,1232,5.43063771
3/07/2014,920,1652,2.754501266
3/07/2014,933,1482,3.463323135
3/07/2014,891,1299,3.058411991
3/07/2014,915,1181,4.100257383
3/07/2014,876,1566,5.326136969
3/07/2014,863,1385,3.725488777
3/07/2014,890,1454,2.918525691
3/07/2014,889,1350,3.555629809
3/07/2014,888,1408,2.431555744
3/07/2014,885,1293,3.667713163
3/07/2014,884,1409,3.042695608
3/07/2014,938,1539,5.944417265
3/07/2014,893,1132,4.73814061
3/07/2014,892,1379,2.923051995
3/07/2014,941,1218,8.838684959
3/07/2014,851,1201,5.074070584
3/07/2014,880,1280,2.215764453
3/07/2014,860,1357,7.023859853
5/08/2014,939,1492,5.291838734
5/08/2014,938,1521,5.944417265
5/08/2014,936,1656,3.294614693
5/08/2014,930,1352,2.841997011
